# 62
    1.00000     .00000
     .99606     .00102
     .98364     .00377
     .96197     .00701
     .93154     .00910
     .89348     .00917
     .84887     .00671
     .79901     .00134
     .74529    -.00701
     .68912    -.01818
     .63189    -.03173
     .57485    -.04703
     .51909    -.06328
     .46552    -.07962
     .41483    -.09511
     .36753    -.10887
     .32394    -.11990
     .28389    -.12736
     .24712    -.13079
     .21322    -.12971
     .18122    -.12425
     .15072    -.11545
     .12193    -.10412
     .09515    -.09096
     .07077    -.07662
     .04923    -.06162
     .03097    -.04646
     .01644    -.03159
     .00607    -.01746
     .00048    -.00470
     .00000     .00000
     .00116     .00703
     .00830	.01892
     .02064	.03130
     .03771	.04378
     .05918	.05608
     .08475	.06791
     .11409	.07903
     .14685	.08921
     .18266	.09821
     .22111	.10580
     .26177	.11175
     .30418	.11564
     .34829	.11696
     .39439	.11573
     .44237	.11251
     .49169	.10775
     .54177	.10173
     .59199	.09473
     .64174	.08698
     .69037	.07873
     .73723	.07016
     .78169	.06146
     .82312	.05276
     .86095	.04417
     .89460	.03567
     .92380	.02706
     .94879	.01848
     .96963	.01071
     .98582	.00470
     .99632	.00112
     1.00000	.00000    
