AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
SERI 819 Hydrofoil.  Clean surface data.  Calculated by XFOIL. 
Viterna Extended with AR=7, Fourth column is the minimum pressure coefficient.
  5           Number of airfoil tables in this file
0.5           Table ID parameter (Reynolds number in millions).
  14.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0.0000	0.0430	-1
-175	0.0345	0.0522	-1
-170	0.0689	0.0795	-1
-165	0.1034	0.1241	-1
-160	0.1379	0.1846	-1
-155	0.1723	0.2591	-1
-150	0.2068	0.3454	-1
-145	0.3241	0.4407	-1
-140	0.4079	0.5422	-1
-135	0.4621	0.6466	-1
-130	0.4893	0.7509	-1
-125	0.4915	0.8516	-1
-120	0.4707	0.9458	-1
-115	0.4291	1.0305	-1
-110	0.3690	1.1030	-1
-105	0.2930	1.1610	-1
-100	0.2041	1.2027	-1
-95	0.1053	1.2268	-1
-90	0.0000	1.2324	-1
-85	-0.1087	1.2193	-1
-80	-0.2174	1.1878	-1
-75	-0.3232	1.1387	-1
-70	-0.4232	1.0735	-1
-65	-0.5150	0.9941	-1
-60	-0.5965	0.9028	-1
-55	-0.6666	0.8023	-1
-50	-0.7244	0.6955	-1
-45	-0.7703	0.5858	-1
-40	-0.8058	0.4762	-1
-35	-0.8340	0.3702	-1
-30	-0.8605	0.2708	-1
-28	-0.8727	0.2336	-1
-26	-0.8871	0.1982	-1
-24	-0.9050	0.1646	-1
-22	-0.9281	0.1330	-1
-20	-0.9587	0.1037	-1
-18	-1.0000	0.0768	-1
-16	-1.0570	0.0523	-1
-15	-1.0936	0.0410	-1
-14	-1.0796	0.0379	-4.198
-13.5	-1.1318	0.0290	-4.238
-13	-1.1890	0.0222	-4.281
-12.5	-1.2200	0.0157	-4.234
-12	-1.1725	0.0127	-3.889
-11.5	-1.1005	0.0123	-3.512
-11	-1.0276	0.0119	-3.162
-10.5	-0.9598	0.0116	-2.846
-10	-0.9035	0.0113	-2.572
-9.5	-0.8525	0.0110	-2.308
-9	-0.8027	0.0106	-2.215
-8.5	-0.7502	0.0103	-2.14
-8	-0.6970	0.0101	-2.069
-7.5	-0.6438	0.0100	-1.998
-7	-0.5897	0.0098	-1.928
-6.5	-0.5343	0.0096	-1.857
-6	-0.4783	0.0095	-1.786
-5.5	-0.4222	0.0093	-1.716
-5	-0.3664	0.0091	-1.646
-4.5	-0.3098	0.0091	-1.576
-4	-0.2532	0.0090	-1.507
-3.5	-0.1968	0.0089	-1.44
-3	-0.1400	0.0088	-1.374
-2.5	-0.0826	0.0088	-1.307
-1.5	0.0321	0.0087	-1.178
-1	0.0896	0.0087	-1.115
-0.5	0.1470	0.0087	-1.052
0	0.2042	0.0087	-0.991
0.5	0.2612	0.0088	-0.951
1	0.3180	0.0089	-1.01
1.5	0.3745	0.0090	-1.07
2	0.4312	0.0091	-1.131
2.5	0.4872	0.0092	-1.194
3	0.5437	0.0093	-1.258
3.5	0.5997	0.0095	-1.322
4	0.6553	0.0096	-1.389
4.5	0.7104	0.0098	-1.462
5	0.7651	0.0100	-1.544
5.5	0.8197	0.0102	-1.634
6	0.8736	0.0104	-1.729
6.5	0.9273	0.0106	-1.83
7	0.9802	0.0109	-1.941
7.5	1.0324	0.0111	-2.057
8	1.0835	0.0114	-2.185
8.5	1.1332	0.0117	-2.363
9	1.1810	0.0121	-2.601
9.5	1.2250	0.0125	-2.843
10	1.2659	0.0129	-3.087
10.5	1.3026	0.0135	-3.336
11.5	1.3614	0.0153	-3.902
12	1.3803	0.0162	-4.17
12.5	1.4018	0.0178	-4.444
13	1.4201	0.0197	-4.717
13.5	1.4339	0.0221	-4.971
14	1.4475	0.0248	-5.254
14.5	1.4526	0.0283	-5.501
15	1.4557	0.0324	-5.714
15.5	1.4514	0.0376	-5.897
16	1.4477	0.0431	-6.063
16.5	1.4373	0.0499	-6.23
17	1.4245	0.0574	-6.365
17.5	1.4090	0.0656	-6.459
18	1.3914	0.0746	-6.56
18.5	1.3734	0.0841	-6.644
19	1.3555	0.0939	-6.736
19.5	1.3372	0.1040	-6.803
20	1.3256	0.1132	-6.902
21	1.1866	0.1098	-1
22	1.1586	0.1248	-1
24	1.1111	0.1564	-1
26	1.0722	0.1902	-1
28	1.0395	0.2258	-1
30	1.0112	0.2631	-1
35	0.9515	0.3629	-1
40	0.8975	0.4694	-1
45	0.8413	0.5795	-1
50	0.7785	0.6898	-1
55	0.7069	0.7972	-1
60	0.6255	0.8983	-1
65	0.5348	0.9903	-1
70	0.4357	1.0705	-1
75	0.3302	1.1364	-1
80	0.2205	1.1862	-1
85	0.1094	1.2185	-1
90	0.0000	1.2324	-1
95	-0.1046	1.2276	-1
100	-0.2010	1.2043	-1
105	-0.2860	1.1633	-1
110	-0.3565	1.1060	-1
115	-0.4093	1.0342	-1
120	-0.4417	0.9503	-1
125	-0.4512	0.8567	-1
130	-0.4351	0.7566	-1
135	-0.3911	0.6529	-1
140	-0.3162	0.5490	-1
145	-0.2767	0.4480	-1
150	-0.2372	0.3531	-1
155	-0.1976	0.2672	-1
160	-0.1581	0.1930	-1
165	-0.1186	0.1327	-1
170	-0.0791	0.0883	-1
175	-0.0395	0.0611	-1
180	0.0000	0.0519	-1
EOT 2
1.5          Table ID parameter (Reynolds number in millions).
  15.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0.0000	0.0409	-1
-175	0.0388	0.0501	-1
-170	0.0777	0.0774	-1
-165	0.1165	0.1221	-1
-160	0.1553	0.1826	-1
-155	0.1941	0.2572	-1
-150	0.2330	0.3435	-1
-145	0.3445	0.4390	-1
-140	0.4238	0.5405	-1
-135	0.4745	0.6451	-1
-130	0.4987	0.7495	-1
-125	0.4985	0.8504	-1
-120	0.4758	0.9448	-1
-115	0.4325	1.0296	-1
-110	0.3711	1.1022	-1
-105	0.2942	1.1604	-1
-100	0.2046	1.2023	-1
-95	0.1055	1.2266	-1
-90	0.0000	1.2324	-1
-85	-0.1085	1.2195	-1
-80	-0.2169	1.1881	-1
-75	-0.3220	1.1393	-1
-70	-0.4210	1.0742	-1
-65	-0.5115	0.9950	-1
-60	-0.5915	0.9038	-1
-55	-0.6595	0.8035	-1
-50	-0.7150	0.6969	-1
-45	-0.7579	0.5873	-1
-40	-0.7898	0.4779	-1
-35	-0.8136	0.3719	-1
-30	-0.8343	0.2727	-1
-28	-0.8437	0.2355	-1
-26	-0.8550	0.2001	-1
-24	-0.8692	0.1665	-1
-22	-0.8881	0.1350	-1
-20	-0.9136	0.1057	-1
-18	-0.9489	0.0788	-1
-16	-0.9283	0.0760	-4.117
-15.5	-0.9415	0.0685	-4.042
-15	-0.9595	0.0607	-3.96
-14.5	-0.9853	0.0523	-3.949
-14	-1.0277	0.0429	-3.984
-13.5	-1.0685	0.0344	-3.978
-13	-1.1183	0.0267	-4.007
-12.5	-1.1432	0.0178	-3.961
-12	-1.1307	0.0117	-3.785
-11.5	-1.0796	0.0104	-3.47
-11	-1.0269	0.0101	-3.174
-10.5	-0.9756	0.0098	-2.899
-10	-0.9249	0.0095	-2.635
-9.5	-0.8711	0.0093	-2.362
-9	-0.8188	0.0091	-2.244
-8.5	-0.7659	0.0089	-2.17
-8	-0.7112	0.0089	-2.096
-7.5	-0.6549	0.0088	-2.022
-7	-0.5997	0.0086	-1.95
-6.5	-0.5428	0.0085	-1.876
-6	-0.4856	0.0084	-1.803
-5.5	-0.4281	0.0083	-1.731
-5	-0.3716	0.0081	-1.66
-4.5	-0.3144	0.0081	-1.588
-4	-0.2568	0.0081	-1.517
-3.5	-0.1989	0.0080	-1.449
-3	-0.1411	0.0080	-1.381
-2.5	-0.0830	0.0079	-1.313
-2	-0.0246	0.0079	-1.247
-1.5	0.0336	0.0079	-1.183
-0.5	0.1497	0.0079	-1.055
0	0.2075	0.0080	-0.993
0.5	0.2650	0.0081	-0.955
1	0.3226	0.0081	-1.014
1.5	0.3801	0.0082	-1.075
2	0.4373	0.0083	-1.137
2.5	0.4945	0.0084	-1.201
3	0.5517	0.0085	-1.266
3.5	0.6086	0.0086	-1.331
4	0.6650	0.0088	-1.398
4.5	0.7212	0.0089	-1.473
5	0.7771	0.0091	-1.556
6	0.8878	0.0094	-1.745
6.5	0.9423	0.0096	-1.848
7	0.9962	0.0099	-1.961
7.5	1.0493	0.0101	-2.079
8	1.1015	0.0104	-2.212
8.5	1.1525	0.0107	-2.412
9	1.2016	0.0110	-2.656
9.5	1.2485	0.0115	-2.907
10	1.2893	0.0120	-3.155
10.5	1.3215	0.0128	-3.402
11	1.3501	0.0137	-3.687
11.5	1.3777	0.0147	-3.97
12	1.4036	0.0157	-4.256
13	1.4403	0.0184	-4.808
13.5	1.4539	0.0206	-5.065
14	1.4672	0.0231	-5.343
14.5	1.4740	0.0264	-5.613
15	1.4786	0.0302	-5.834
15.5	1.4788	0.0347	-6.042
16	1.4778	0.0398	-6.225
16.5	1.4712	0.0459	-6.418
17	1.4599	0.0529	-6.568
17.5	1.4501	0.0603	-6.699
18	1.4362	0.0685	-6.841
18.5	1.4226	0.0771	-6.947
19	1.4064	0.0864	-7.066
19.5	1.3933	0.0955	-7.174
20	1.3801	0.1048	-7.279
21	1.2252	0.1066	-1
22	1.1951	0.1217	-1
24	1.1438	0.1534	-1
26	1.1015	0.1871	-1
28	1.0659	0.2228	-1
30	1.0350	0.2602	-1
35	0.9701	0.3601	-1
40	0.9120	0.4668	-1
45	0.8526	0.5771	-1
50	0.7871	0.6877	-1
55	0.7133	0.7952	-1
60	0.6301	0.8966	-1
65	0.5379	0.9889	-1
70	0.4377	1.0693	-1
75	0.3313	1.1355	-1
80	0.2210	1.1856	-1
85	0.1096	1.2182	-1
90	0.0000	1.2324	-1
95	-0.1045	1.2279	-1
100	-0.2005	1.2048	-1
105	-0.2849	1.1642	-1
110	-0.3545	1.1072	-1
115	-0.4062	1.0357	-1
120	-0.4372	0.9520	-1
125	-0.4448	0.8587	-1
130	-0.4266	0.7588	-1
135	-0.3798	0.6553	-1
140	-0.3017	0.5516	-1
145	-0.2640	0.4508	-1
150	-0.2263	0.3560	-1
155	-0.1886	0.2702	-1
160	-0.1508	0.1961	-1
165	-0.1131	0.1360	-1
170	-0.0754	0.0916	-1
175	-0.0377	0.0645	-1
180	0.0000	0.0553	-1
EOT 3
2.0          Table ID parameter (Reynolds number in millions).
  15.5        Stall angle (deg)
  0           Zero lift angle of attack (deg)
  0           Cn slope for zero lift (dimensionless)
  0           Cn at stall value for positive angle of attack
  0           Cn at stall value for negative angle of attack
  0           Angle of attack for minimum CD (deg)
  0           Minimum CD value
-180	0.0000	0.0360	-1
-175	0.0391	0.0452	-1
-170	0.0782	0.0726	-1
-165	0.1174	0.1173	-1
-160	0.1565	0.1780	-1
-155	0.1956	0.2527	-1
-150	0.2347	0.3393	-1
-145	0.3459	0.4349	-1
-140	0.4249	0.5368	-1
-135	0.4753	0.6417	-1
-130	0.4994	0.7463	-1
-125	0.4990	0.8476	-1
-120	0.4761	0.9423	-1
-115	0.4328	1.0275	-1
-110	0.3713	1.1005	-1
-105	0.2943	1.1592	-1
-100	0.2047	1.2015	-1
-95	0.1055	1.2262	-1
-90	0.0000	1.2324	-1
-85	-0.1085	1.2199	-1
